baseline,image_id,gt_category,gt_severity,gt_department,gt_description,pred_category,pred_severity,pred_department,pred_description,json_valid,raw_output,cat_correct,sev_correct,dept_correct,source_category,source_severity,source_department,source_description
Llama-Prompted,broken_9,Broken Hospital Bed,high,Maintenance,"I was shocked to see the state of the hospital bed in my room, it's clearly broken and looks like it hasn't been maintained in a while. The room itself is also in a poor condition, which is unacceptable for a healthcare facility. I'm worried about the safety and hygiene of the environment.",Broken Hospital Bed,medium,Maintenance,"Patient reported a damaged hospital bed with visible signs of wear and tear, and also expressed concern about the overall condition of the room.",True,"{""category"":""Broken Hospital Bed"",""severity"":""medium"",""department"":""Maintenance"",""complaint_description"":""Patient reported a damaged hospital bed with visible signs of wear and tear, and also expressed concern about the overall condition of the room.""}",True,False,True,single_model,single_model,single_model,single_model
Llama-Prompted,broken_1,Broken Hospital Bed,high,Maintenance,"I was shocked to see a broken hospital bed in one of the rooms, which is a serious concern for patient safety and comfort. The bed was clearly damaged and unusable, and the overall condition of the room was unacceptable. This is not the kind of environment I expect to see in a hospital.",Broken Hospital Bed,medium,Maintenance,"Patient reported a damaged hospital bed with visible signs of wear and tear, and the surrounding area is in disarray with graffiti on the walls.",True,"{""category"":""Broken Hospital Bed"",""severity"":""medium"",""department"":""Maintenance"",""complaint_description"":""Patient reported a damaged hospital bed with visible signs of wear and tear, and the surrounding area is in disarray with graffiti on the walls.""}",True,False,True,single_model,single_model,single_model,single_model
Llama-Prompted,broken_4,Broken Hospital Bed,high,Maintenance,"I was shocked to see the state of the hospital bed in my room, it's clearly broken and looks like it hasn't been maintained in a long time. As a patient, I'm concerned about my safety and comfort. The hospital should provide a functional and clean bed for all patients.",Broken Hospital Bed,medium,Maintenance,"Patient reported a damaged hospital bed with visible signs of wear and tear, including a broken frame, requiring repair or replacement to ensure patient safety.",True,"{""category"":""Broken Hospital Bed"",""severity"":""medium"",""department"":""Maintenance"",""complaint_description"":""Patient reported a damaged hospital bed with visible signs of wear and tear, including a broken frame, requiring repair or replacement to ensure patient safety.""}",True,False,True,single_model,single_model,single_model,single_model
Llama-Prompted,broken_21,Broken Hospital Bed,high,Maintenance,"I was assigned to a room with a broken hospital bed, which is unacceptable for a place of healing. The bed looks like it has been damaged for a while and it's surprising that it hasn't been replaced yet. This is a serious concern for patient safety and comfort.",Broken Hospital Bed,medium,Maintenance,"Patient reported a damaged hospital bed in their room with visible signs of wear and tear, and a blanket draped over it.",True,"{""category"":""Broken Hospital Bed"",""severity"":""medium"",""department"":""Maintenance"",""complaint_description"":""Patient reported a damaged hospital bed in their room with visible signs of wear and tear, and a blanket draped over it.""}",True,False,True,single_model,single_model,single_model,single_model
Llama-Prompted,crowded_6,Crowded Hospital Waiting Room,medium,Administration,"I visited the hospital today and was shocked to see the waiting room was extremely crowded, with many patients forced to sit on the floor. This is not only uncomfortable but also unsanitary. The hospital should provide more seating and improve the waiting area conditions.",Crowded Hospital Waiting Room,medium,Facilities Management,"Patient reported overcrowding in the waiting room with insufficient seating, resulting in patients sitting on the floor and expressing concerns about cleanliness and comfort.",True,"{""category"":""Crowded Hospital Waiting Room"",""severity"":""medium"",""department"":""Facilities Management"",""complaint_description"":""Patient reported overcrowding in the waiting room with insufficient seating, resulting in patients sitting on the floor and expressing concerns about cleanliness and comfort.""}",True,True,False,single_model,single_model,single_model,single_model
Llama-Prompted,crowded_1,Crowded Hospital Waiting Room,medium,Administration,I visited the hospital for my appointment and was shocked to see the waiting room overcrowded with patients. The lack of seating and space made it uncomfortable for everyone. It seems like the hospital is not managing its patient flow efficiently.,Crowded Hospital Waiting Room,medium,Administration,"Patient reported overcrowding in the hospital waiting room with limited seating, causing discomfort.",True,"{""category"":""Crowded Hospital Waiting Room"",""severity"":""medium"",""department"":""Administration"",""complaint_description"":""Patient reported overcrowding in the hospital waiting room with limited seating, causing discomfort.""}",True,True,True,single_model,single_model,single_model,single_model
Llama-Prompted,crowded_9,Crowded Hospital Waiting Room,medium,Administration,"I visited the hospital today and was shocked to see the waiting room in such a state. Patients, including the elderly, were forced to sleep on the floor due to the lack of seating. This is unacceptable and highlights the need for better waiting area management.",Crowded Hospital Waiting Room,high,Administration,"Patient reported severe overcrowding in the hospital waiting room, with insufficient seating and patients forced to sleep on the floor.",True,"{""category"":""Crowded Hospital Waiting Room"",""severity"":""high"",""department"":""Administration"",""complaint_description"":""Patient reported severe overcrowding in the hospital waiting room, with insufficient seating and patients forced to sleep on the floor.""}",True,False,True,single_model,single_model,single_model,single_model
Llama-Prompted,crowded_19,Crowded Hospital Waiting Room,medium,Administration,"I visited the hospital today and was shocked to see how crowded the waiting room was. There were not enough seats for all the patients and their families, and the staff seemed overwhelmed. This made it difficult for me to get the help I needed in a timely manner.",Crowded Hospital Waiting Room,medium,Administration,"Patient reported overcrowding in the hospital waiting room, citing discomfort and difficulty accessing assistance due to the high volume of people.",True,"{""category"":""Crowded Hospital Waiting Room"",""severity"":""medium"",""department"":""Administration"",""complaint_description"":""Patient reported overcrowding in the hospital waiting room, citing discomfort and difficulty accessing assistance due to the high volume of people.""}",True,True,True,single_model,single_model,single_model,single_model
Llama-Prompted,dirty_sc_12,Dirty Hospital Bathroom,high,Housekeeping,"I was shocked to see the state of the hospital bathroom, it was extremely dirty and unhygienic. The bathroom had two sinks and a window, but the overall condition was unacceptable. This is a serious concern for patient health and safety.",Dirty Hospital Bathroom,medium,Housekeeping,"Patient reported the hospital bathroom as unhygienic and dirty with visible dirt, despite having two sinks and a window, requiring immediate cleaning attention.",True,"{""category"":""Dirty Hospital Bathroom"",""severity"":""medium"",""department"":""Housekeeping"",""complaint_description"":""Patient reported the hospital bathroom as unhygienic and dirty with visible dirt, despite having two sinks and a window, requiring immediate cleaning attention.""}",True,False,True,single_model,single_model,single_model,single_model
Llama-Prompted,dirty_sc_10,Dirty Hospital Bathroom,high,Housekeeping,"I was appalled by the condition of the hospital bathroom I visited, which was filthy and clearly hadn't been cleaned in a while. The toilet and urinals were dirty, and the whole area looked like it hadn't been disinfected. This is unacceptable for a healthcare facility.",Dirty Hospital Bathroom,high,Housekeeping,"Patient reported the hospital bathroom to be in an unsanitary condition with visible dirt and grime on the toilet and urinals, creating an unhygienic environment.",True,"{""category"":""Dirty Hospital Bathroom"",""severity"":""high"",""department"":""Housekeeping"",""complaint_description"":""Patient reported the hospital bathroom to be in an unsanitary condition with visible dirt and grime on the toilet and urinals, creating an unhygienic environment.""}",True,True,True,single_model,single_model,single_model,single_model
