baseline,image_id,gt_category,gt_severity,gt_department,gt_description,pred_category,pred_severity,pred_department,pred_description,json_valid,raw_output,cat_correct,sev_correct,dept_correct,source_category,source_severity,source_department,source_description
Mistral-Prompted,broken_9,Broken Hospital Bed,high,Maintenance,"I was shocked to see the state of the hospital bed in my room, it's clearly broken and looks like it hasn't been maintained in a while. The room itself is also in a poor condition, which is unacceptable for a healthcare facility. I'm worried about the safety and hygiene of the environment.",Broken Hospital Bed,high,Maintenance,"Patient reported a broken hospital bed in their room, along with a messy and run-down hospital environment.",True,"Based on the image caption and voice complaint, here is the JSON output:

```json
{
  ""category"": ""Broken Hospital Bed"",
  ""severity"": ""high"",
  ""department"": ""Maintenance"",
  ""complaint_description"": ""Patient reported a broken hospital bed in their room, along with a messy and run-down hospital environment.""
}
```",True,True,True,single_model,single_model,single_model,single_model
Mistral-Prompted,broken_1,Broken Hospital Bed,high,Maintenance,"I was shocked to see a broken hospital bed in one of the rooms, which is a serious concern for patient safety and comfort. The bed was clearly damaged and unusable, and the overall condition of the room was unacceptable. This is not the kind of environment I expect to see in a hospital.",Broken Hospital Bed,high,Facilities Management,"The hospital bed in one of the rooms appears to be broken or damaged, with visible signs of wear and tear. The surrounding area is also in disarray, suggesting that the room has been abandoned and vandalized.",True,"Based on the image caption and voice complaint, here is the JSON output:

```json
{
  ""category"": ""Broken Hospital Bed"",
  ""severity"": ""high"",
  ""department"": ""Facilities Management"",
  ""complaint_description"": ""The hospital bed in one of the rooms appears to be broken or damaged, with visible signs of wear and tear. The surrounding area is also in disarray, suggesting that the room has been abandoned and vandalized.""
}
```",True,True,False,single_model,single_model,single_model,single_model
Mistral-Prompted,broken_4,Broken Hospital Bed,high,Maintenance,"I was shocked to see the state of the hospital bed in my room, it's clearly broken and looks like it hasn't been maintained in a long time. As a patient, I'm concerned about my safety and comfort. The hospital should provide a functional and clean bed for all patients.",Broken Hospital Bed,critical,Maintenance,"Patient reported a critically broken hospital bed with visible signs of wear and tear. The bed's frame is broken, posing a major safety risk for patients.",True,"Output: {
""category"": ""Broken Hospital Bed"",
""severity"": ""critical"",
""department"": ""Maintenance"",
""complaint_description"": ""Patient reported a critically broken hospital bed with visible signs of wear and tear. The bed's frame is broken, posing a major safety risk for patients.""
}",True,False,True,single_model,single_model,single_model,single_model
Mistral-Prompted,broken_21,Broken Hospital Bed,high,Maintenance,"I was assigned to a room with a broken hospital bed, which is unacceptable for a place of healing. The bed looks like it has been damaged for a while and it's surprising that it hasn't been replaced yet. This is a serious concern for patient safety and comfort.",Broken Hospital Bed,high,Maintenance,"Patient reported a broken hospital bed in their room, which appeared to be severely worn out with visible signs of damage. A blanket was draped over the bed.",True,"Based on the image caption and voice complaint, here is the JSON output:

```json
{
  ""category"": ""Broken Hospital Bed"",
  ""severity"": ""high"",
  ""department"": ""Maintenance"",
  ""complaint_description"": ""Patient reported a broken hospital bed in their room, which appeared to be severely worn out with visible signs of damage. A blanket was draped over the bed.""
}
```",True,True,True,single_model,single_model,single_model,single_model
Mistral-Prompted,crowded_6,Crowded Hospital Waiting Room,medium,Administration,"I visited the hospital today and was shocked to see the waiting room was extremely crowded, with many patients forced to sit on the floor. This is not only uncomfortable but also unsanitary. The hospital should provide more seating and improve the waiting area conditions.",Crowded Hospital Waiting Room,medium,Administration,"Patients reported overcrowding in the waiting room, with some people sitting on the floor due to lack of available seating. Patients also expressed discomfort and concerns about cleanliness in the overcrowded waiting room.",True,"Based on the image caption and voice complaint, here is the JSON output:

```json
{
  ""category"": ""Crowded Hospital Waiting Room"",
  ""severity"": ""medium"",
  ""department"": ""Administration"",
  ""complaint_description"": ""Patients reported overcrowding in the waiting room, with some people sitting on the floor due to lack of available seating. Patients also expressed discomfort and concerns about cleanliness in the overcrowded waiting room.""
}
```",True,True,True,single_model,single_model,single_model,single_model
Mistral-Prompted,crowded_1,Crowded Hospital Waiting Room,medium,Administration,I visited the hospital for my appointment and was shocked to see the waiting room overcrowded with patients. The lack of seating and space made it uncomfortable for everyone. It seems like the hospital is not managing its patient flow efficiently.,Crowded Hospital Waiting Room,medium,Nursing,"Patient reported discomfort due to overcrowding in the waiting room, with limited seating available.",True,"Output: {
""category"": ""Crowded Hospital Waiting Room"",
""severity"": ""medium"",
""department"": ""Nursing"",
""complaint_description"": ""Patient reported discomfort due to overcrowding in the waiting room, with limited seating available.""
}",True,True,False,single_model,single_model,single_model,single_model
Mistral-Prompted,crowded_9,Crowded Hospital Waiting Room,medium,Administration,"I visited the hospital today and was shocked to see the waiting room in such a state. Patients, including the elderly, were forced to sleep on the floor due to the lack of seating. This is unacceptable and highlights the need for better waiting area management.",Crowded Hospital Waiting Room,high,Administration,The hospital waiting room is overcrowded with patients sleeping on the floor due to a lack of available seating.,True,"Based on the image caption and voice complaint, here is the JSON output:

```json
{
  ""category"": ""Crowded Hospital Waiting Room"",
  ""severity"": ""high"",
  ""department"": ""Administration"",
  ""complaint_description"": ""The hospital waiting room is overcrowded with patients sleeping on the floor due to a lack of available seating.""
}
```",True,False,True,single_model,single_model,single_model,single_model
Mistral-Prompted,crowded_19,Crowded Hospital Waiting Room,medium,Administration,"I visited the hospital today and was shocked to see how crowded the waiting room was. There were not enough seats for all the patients and their families, and the staff seemed overwhelmed. This made it difficult for me to get the help I needed in a timely manner.",Crowded Hospital Waiting Room,medium,Administration,Patient reported discomfort and difficulty getting help due to overcrowding in the hospital waiting room.,True,"Based on the image caption and voice complaint, here is the JSON output:

```json
{
  ""category"": ""Crowded Hospital Waiting Room"",
  ""severity"": ""medium"",
  ""department"": ""Administration"",
  ""complaint_description"": ""Patient reported discomfort and difficulty getting help due to overcrowding in the hospital waiting room.""
}
```",True,True,True,single_model,single_model,single_model,single_model
Mistral-Prompted,dirty_sc_12,Dirty Hospital Bathroom,high,Housekeeping,"I was shocked to see the state of the hospital bathroom, it was extremely dirty and unhygienic. The bathroom had two sinks and a window, but the overall condition was unacceptable. This is a serious concern for patient health and safety.",Dirty Hospital Bathroom,high,Housekeeping,Patient reported severe unhygienic bathroom conditions with visible dirt. The bathroom has two sinks and a window but it's just not clean.,True,"Based on the image caption and voice complaint, here's the JSON output:

```json
{
  ""category"": ""Dirty Hospital Bathroom"",
  ""severity"": ""high"",
  ""department"": ""Housekeeping"",
  ""complaint_description"": ""Patient reported severe unhygienic bathroom conditions with visible dirt. The bathroom has two sinks and a window but it's just not clean.""
}
```",True,True,True,single_model,single_model,single_model,single_model
Mistral-Prompted,dirty_sc_10,Dirty Hospital Bathroom,high,Housekeeping,"I was appalled by the condition of the hospital bathroom I visited, which was filthy and clearly hadn't been cleaned in a while. The toilet and urinals were dirty, and the whole area looked like it hadn't been disinfected. This is unacceptable for a healthcare facility.",Dirty Hospital Bathroom,critical,Housekeeping,"The hospital bathroom appears to be dirty and unhygienic, with visible dirt and grime on the toilet and urinals. The overall condition of the bathroom is unsanitary.",True,"Based on the image caption and voice complaint, here is the JSON output:

```json
{
  ""category"": ""Dirty Hospital Bathroom"",
  ""severity"": ""critical"",
  ""department"": ""Housekeeping"",
  ""complaint_description"": ""The hospital bathroom appears to be dirty and unhygienic, with visible dirt and grime on the toilet and urinals. The overall condition of the bathroom is unsanitary.""
}
```",True,False,True,single_model,single_model,single_model,single_model
