baseline,image_id,gt_category,gt_severity,gt_department,gt_description,pred_category,pred_severity,pred_department,pred_description,json_valid,raw_output,cat_correct,sev_correct,dept_correct,source_category,source_severity,source_department,source_description
Llama-ZeroShot,broken_9,Broken Hospital Bed,high,Maintenance,"I was shocked to see the state of the hospital bed in my room, it's clearly broken and looks like it hasn't been maintained in a while. The room itself is also in a poor condition, which is unacceptable for a healthcare facility. I'm worried about the safety and hygiene of the environment.",Facilities,high,Maintenance,Damaged hospital bed and run-down room,True,"```json
{
  ""category"": ""Facilities"",
  ""severity"": ""High"",
  ""department"": ""Maintenance"",
  ""complaint_description"": ""Damaged hospital bed and run-down room""
}
```",False,True,True,single_model,single_model,single_model,single_model
Llama-ZeroShot,broken_1,Broken Hospital Bed,high,Maintenance,"I was shocked to see a broken hospital bed in one of the rooms, which is a serious concern for patient safety and comfort. The bed was clearly damaged and unusable, and the overall condition of the room was unacceptable. This is not the kind of environment I expect to see in a hospital.",Facilities,high,Maintenance,Broken hospital bed and vandalized room,True,"```json
{
  ""category"": ""Facilities"",
  ""severity"": ""High"",
  ""department"": ""Maintenance"",
  ""complaint_description"": ""Broken hospital bed and vandalized room""
}
```",False,True,True,single_model,single_model,single_model,single_model
Llama-ZeroShot,broken_4,Broken Hospital Bed,high,Maintenance,"I was shocked to see the state of the hospital bed in my room, it's clearly broken and looks like it hasn't been maintained in a long time. As a patient, I'm concerned about my safety and comfort. The hospital should provide a functional and clean bed for all patients.",Facilities,high,Maintenance,"The hospital bed is damaged, with visible signs of wear and tear, and has a broken frame, making it appear unsafe for use.",True,"```json
{
  ""category"": ""Facilities"",
  ""severity"": ""High"",
  ""department"": ""Maintenance"",
  ""complaint_description"": ""The hospital bed is damaged, with visible signs of wear and tear, and has a broken frame, making it appear unsafe for use.""
}
```",False,True,True,single_model,single_model,single_model,single_model
Llama-ZeroShot,broken_21,Broken Hospital Bed,high,Maintenance,"I was assigned to a room with a broken hospital bed, which is unacceptable for a place of healing. The bed looks like it has been damaged for a while and it's surprising that it hasn't been replaced yet. This is a serious concern for patient safety and comfort.",Facilities,moderate,Maintenance,"Damaged hospital bed with visible signs of wear and tear, and a blanket draped over it",True,"```json
{
  ""category"": ""Facilities"",
  ""severity"": ""Moderate"",
  ""department"": ""Maintenance"",
  ""complaint_description"": ""Damaged hospital bed with visible signs of wear and tear, and a blanket draped over it""
}
```",False,False,True,single_model,single_model,single_model,single_model
Llama-ZeroShot,crowded_6,Crowded Hospital Waiting Room,medium,Administration,"I visited the hospital today and was shocked to see the waiting room was extremely crowded, with many patients forced to sit on the floor. This is not only uncomfortable but also unsanitary. The hospital should provide more seating and improve the waiting area conditions.",Facilities,high,Administration,"Overcrowding and lack of seating in the waiting room, resulting in patients sitting on the floor in uncomfortable and unclean conditions.",True,"```json
{
  ""category"": ""Facilities"",
  ""severity"": ""High"",
  ""department"": ""Administration"",
  ""complaint_description"": ""Overcrowding and lack of seating in the waiting room, resulting in patients sitting on the floor in uncomfortable and unclean conditions.""
}
```",False,False,True,single_model,single_model,single_model,single_model
Llama-ZeroShot,crowded_1,Crowded Hospital Waiting Room,medium,Administration,I visited the hospital for my appointment and was shocked to see the waiting room overcrowded with patients. The lack of seating and space made it uncomfortable for everyone. It seems like the hospital is not managing its patient flow efficiently.,Facilities,high,Administration,"Overcrowding in the waiting room with limited seating availability, causing discomfort for patients.",True,"```json
{
  ""category"": ""Facilities"",
  ""severity"": ""High"",
  ""department"": ""Administration"",
  ""complaint_description"": ""Overcrowding in the waiting room with limited seating availability, causing discomfort for patients.""
}
```",False,False,True,single_model,single_model,single_model,single_model
Llama-ZeroShot,crowded_9,Crowded Hospital Waiting Room,medium,Administration,"I visited the hospital today and was shocked to see the waiting room in such a state. Patients, including the elderly, were forced to sleep on the floor due to the lack of seating. This is unacceptable and highlights the need for better waiting area management.",Facilities,high,Administration,"Overcrowding in the waiting room, with insufficient seating, resulting in patients sleeping on the floor.",True,"```json
{
  ""category"": ""Facilities"",
  ""severity"": ""High"",
  ""department"": ""Administration"",
  ""complaint_description"": ""Overcrowding in the waiting room, with insufficient seating, resulting in patients sleeping on the floor.""
}
```",False,False,True,single_model,single_model,single_model,single_model
Llama-ZeroShot,crowded_19,Crowded Hospital Waiting Room,medium,Administration,"I visited the hospital today and was shocked to see how crowded the waiting room was. There were not enough seats for all the patients and their families, and the staff seemed overwhelmed. This made it difficult for me to get the help I needed in a timely manner.",Facilities and Comfort,high,Administration,"Overcrowding in the waiting room, causing discomfort and difficulty in receiving assistance.",True,"```json
{
  ""category"": ""Facilities and Comfort"",
  ""severity"": ""High"",
  ""department"": ""Administration"",
  ""complaint_description"": ""Overcrowding in the waiting room, causing discomfort and difficulty in receiving assistance.""
}
```",False,False,True,single_model,single_model,single_model,single_model
Llama-ZeroShot,dirty_sc_12,Dirty Hospital Bathroom,high,Housekeeping,"I was shocked to see the state of the hospital bathroom, it was extremely dirty and unhygienic. The bathroom had two sinks and a window, but the overall condition was unacceptable. This is a serious concern for patient health and safety.",Facilities,high,Housekeeping,"The hospital bathroom is unhygienic with visible dirt, despite having two sinks and a window.",True,"```json
{
  ""category"": ""Facilities"",
  ""severity"": ""High"",
  ""department"": ""Housekeeping"",
  ""complaint_description"": ""The hospital bathroom is unhygienic with visible dirt, despite having two sinks and a window.""
}
```",False,True,True,single_model,single_model,single_model,single_model
Llama-ZeroShot,dirty_sc_10,Dirty Hospital Bathroom,high,Housekeeping,"I was appalled by the condition of the hospital bathroom I visited, which was filthy and clearly hadn't been cleaned in a while. The toilet and urinals were dirty, and the whole area looked like it hadn't been disinfected. This is unacceptable for a healthcare facility.",Facilities,high,Housekeeping,"The hospital bathroom is dirty and unhygienic, with visible dirt and grime on the toilet and urinals, making it an unsanitary environment.",True,"```json
{
  ""category"": ""Facilities"",
  ""severity"": ""High"",
  ""department"": ""Housekeeping"",
  ""complaint_description"": ""The hospital bathroom is dirty and unhygienic, with visible dirt and grime on the toilet and urinals, making it an unsanitary environment.""
}
```",False,True,True,single_model,single_model,single_model,single_model
