baseline,image_id,gt_category,gt_severity,gt_department,gt_description,pred_category,pred_severity,pred_department,pred_description,json_valid,raw_output,cat_correct,sev_correct,dept_correct
Hybrid-LlamaStruct-MistralDesc,broken_9,Broken Hospital Bed,high,Maintenance,"I was shocked to see the state of the hospital bed in my room, it's clearly broken and looks like it hasn't been maintained in a while. The room itself is also in a poor condition, which is unacceptable for a healthcare facility. I'm worried about the safety and hygiene of the environment.",Broken Hospital Bed,medium,Maintenance,"The hospital patient expressed concern over the broken bed in their hospital room. The room also appeared run down, adding to the patient's unease. The chosen category for this complaint is ""Broken Hospital Bed"" with a medium severity level. The department responsible for addressing this issue is ""Maintenance"".",True,"{""category"":""Broken Hospital Bed"",""severity"":""medium"",""department"":""Maintenance"",""complaint_description"":""Patient reported a damaged hospital bed with visible signs of wear and tear, and also expressed concern about the overall condition of the room.""}",True,False,True
Hybrid-LlamaStruct-MistralDesc,broken_1,Broken Hospital Bed,high,Maintenance,"I was shocked to see a broken hospital bed in one of the rooms, which is a serious concern for patient safety and comfort. The bed was clearly damaged and unusable, and the overall condition of the room was unacceptable. This is not the kind of environment I expect to see in a hospital.",Broken Hospital Bed,medium,Maintenance,There is a broken hospital bed in one of the hospital rooms. The bed appears to be damaged and in disrepair. The maintenance department needs to be notified to repair or replace the broken bed.,True,"{""category"":""Broken Hospital Bed"",""severity"":""medium"",""department"":""Maintenance"",""complaint_description"":""Patient reported a damaged hospital bed with visible signs of wear and tear, and the surrounding area is in disarray with graffiti on the walls.""}",True,False,True
Hybrid-LlamaStruct-MistralDesc,broken_4,Broken Hospital Bed,high,Maintenance,"I was shocked to see the state of the hospital bed in my room, it's clearly broken and looks like it hasn't been maintained in a long time. As a patient, I'm concerned about my safety and comfort. The hospital should provide a functional and clean bed for all patients.",Broken Hospital Bed,medium,Maintenance,"The hospital bed in the patient's room is broken and in a state of disrepair. The bed's frame is visibly broken, and the bed appears to be unsafe for use. The maintenance department is requested to promptly repair or replace the broken hospital bed.",True,"{""category"":""Broken Hospital Bed"",""severity"":""medium"",""department"":""Maintenance"",""complaint_description"":""Patient reported a damaged hospital bed with visible signs of wear and tear, including a broken frame, requiring repair or replacement to ensure patient safety.""}",True,False,True
Hybrid-LlamaStruct-MistralDesc,broken_21,Broken Hospital Bed,high,Maintenance,"I was assigned to a room with a broken hospital bed, which is unacceptable for a place of healing. The bed looks like it has been damaged for a while and it's surprising that it hasn't been replaced yet. This is a serious concern for patient safety and comfort.",Broken Hospital Bed,medium,Maintenance,The hospital room contains a broken and worn-out hospital bed. The bed appears to have a blanket carelessly thrown on it. The maintenance department is requested to address this issue as soon as possible.,True,"{""category"":""Broken Hospital Bed"",""severity"":""medium"",""department"":""Maintenance"",""complaint_description"":""Patient reported a damaged hospital bed in their room with visible signs of wear and tear, and a blanket draped over it.""}",True,False,True
Hybrid-LlamaStruct-MistralDesc,crowded_6,Crowded Hospital Waiting Room,medium,Administration,"I visited the hospital today and was shocked to see the waiting room was extremely crowded, with many patients forced to sit on the floor. This is not only uncomfortable but also unsanitary. The hospital should provide more seating and improve the waiting area conditions.",Crowded Hospital Waiting Room,medium,Administration,"The hospital waiting room is excessively crowded, resulting in patients sitting on the floor due to a lack of available seating. The uncomfortable and unsanitary conditions make for a distressing experience.",True,"{""category"":""Crowded Hospital Waiting Room"",""severity"":""medium"",""department"":""Administration"",""complaint_description"":""Patient reported overcrowding in the waiting room with insufficient seating, resulting in patients sitting on the floor and expressing concerns about cleanliness and comfort.""}",True,True,True
Hybrid-LlamaStruct-MistralDesc,crowded_1,Crowded Hospital Waiting Room,medium,Administration,I visited the hospital for my appointment and was shocked to see the waiting room overcrowded with patients. The lack of seating and space made it uncomfortable for everyone. It seems like the hospital is not managing its patient flow efficiently.,Crowded Hospital Waiting Room,medium,Administration,"The hospital waiting room is excessively crowded, leaving insufficient seating options for patients. This situation creates an uncomfortable and unpleasant experience for those waiting.",True,"{""category"":""Crowded Hospital Waiting Room"",""severity"":""medium"",""department"":""Administration"",""complaint_description"":""Patient reported overcrowding in the hospital waiting room with limited seating, causing discomfort.""}",True,True,True
Hybrid-LlamaStruct-MistralDesc,crowded_9,Crowded Hospital Waiting Room,medium,Administration,"I visited the hospital today and was shocked to see the waiting room in such a state. Patients, including the elderly, were forced to sleep on the floor due to the lack of seating. This is unacceptable and highlights the need for better waiting area management.",Crowded Hospital Waiting Room,high,Administration,"The hospital waiting room is excessively crowded, with patients sleeping on the floor due to a lack of available seating. This situation is of high severity and is a concern for the Administration department.",True,"{""category"":""Crowded Hospital Waiting Room"",""severity"":""high"",""department"":""Administration"",""complaint_description"":""Patient reported severe overcrowding in the hospital waiting room, with insufficient seating and patients forced to sleep on the floor.""}",True,False,True
Hybrid-LlamaStruct-MistralDesc,crowded_19,Crowded Hospital Waiting Room,medium,Administration,"I visited the hospital today and was shocked to see how crowded the waiting room was. There were not enough seats for all the patients and their families, and the staff seemed overwhelmed. This made it difficult for me to get the help I needed in a timely manner.",Crowded Hospital Waiting Room,medium,Administration,"The hospital waiting room is excessively crowded, making it uncomfortable and difficult for patients to receive assistance.",True,"{""category"":""Crowded Hospital Waiting Room"",""severity"":""medium"",""department"":""Administration"",""complaint_description"":""Patient reported overcrowding in the hospital waiting room, citing discomfort and difficulty accessing assistance due to the high volume of people.""}",True,True,True
Hybrid-LlamaStruct-MistralDesc,dirty_sc_12,Dirty Hospital Bathroom,high,Housekeeping,"I was shocked to see the state of the hospital bathroom, it was extremely dirty and unhygienic. The bathroom had two sinks and a window, but the overall condition was unacceptable. This is a serious concern for patient health and safety.",Dirty Hospital Bathroom,medium,Housekeeping,"The hospital bathroom is unfortunately quite dirty and unhygienic. Despite having two sinks and a window, the bathroom does not appear to be clean.",True,"{""category"":""Dirty Hospital Bathroom"",""severity"":""medium"",""department"":""Housekeeping"",""complaint_description"":""Patient reported the hospital bathroom as unhygienic with visible dirt, despite having two sinks and a window, indicating a need for improved cleaning and maintenance.""}",True,False,True
Hybrid-LlamaStruct-MistralDesc,dirty_sc_10,Dirty Hospital Bathroom,high,Housekeeping,"I was appalled by the condition of the hospital bathroom I visited, which was filthy and clearly hadn't been cleaned in a while. The toilet and urinals were dirty, and the whole area looked like it hadn't been disinfected. This is unacceptable for a healthcare facility.",Dirty Hospital Bathroom,high,Housekeeping,"The hospital bathroom in this facility is in a deplorable state. The bathroom is dirty and unhygienic, with visible grime and dirt on the toilet and urinals. The overall condition of the bathroom is unsanitary and requires immediate attention from the housekeeping department.",True,"{""category"":""Dirty Hospital Bathroom"",""severity"":""high"",""department"":""Housekeeping"",""complaint_description"":""Patient reported the hospital bathroom to be in an unsanitary condition with visible dirt and grime on the toilet and urinals, and described it as disgusting and gross.""}",True,True,True
Hybrid-LlamaStruct-MistralDesc,dirty_5,Dirty Hospital Bathroom,high,Housekeeping,"I was appalled by the state of the hospital bathroom, which was filthy and clearly hadn't been cleaned in a while. The urinals and sink were clogged with dirt and grime, making it unusable. This is unacceptable for a healthcare facility.",Dirty Hospital Bathroom,high,Housekeeping,"The hospital bathroom in this facility is in a deplorable state. The bathroom is covered in dirt and grime, making it an unhygienic and unpleasant environment. The sink and urinals are particularly affected, rendering them unusable. The housekeeping department must address this issue promptly to ensure the health and well-being of patients and staff.",True,"{""category"":""Dirty Hospital Bathroom"",""severity"":""high"",""department"":""Housekeeping"",""complaint_description"":""Patient reported the hospital bathroom to be unhygienic with visible dirt and grime, particularly affecting the urinals and sink, making them unusable.""}",True,True,True
Hybrid-LlamaStruct-MistralDesc,nursing_9,Empty / Unstaffed Nursing Station,critical,Nursing,"I visited the nursing station to ask for assistance, but there was no one available to help me. The station was completely empty, with no staff in sight. This lack of staffing is concerning and affects the quality of care.",Empty / Unstaffed Nursing Station,high,Nursing,"The nursing station at the hospital was empty and unstaffed during my visit. The reception counter was devoid of personnel, leaving me concerned about the quality of care being provided.",True,"{""category"":""Empty / Unstaffed Nursing Station"",""severity"":""high"",""department"":""Nursing"",""complaint_description"":""Patient reported visiting the nursing station and finding it unstaffed with no personnel present to attend to patients or visitors, causing concern.""}",True,False,True
Hybrid-LlamaStruct-MistralDesc,nursing_22,Empty / Unstaffed Nursing Station,critical,Nursing,"I visited the hospital and was concerned to find the nursing station completely unstaffed. There was no one available to answer questions or provide assistance, which is unacceptable for a healthcare facility. This lack of staffing is alarming and raises concerns about patient care.",Empty / Unstaffed Nursing Station,high,Nursing,"The hospital nursing station is currently unstaffed and empty, with no medical personnel present to assist or answer questions. This situation is of high severity as it leaves patients without access to essential nursing services.",True,"{""category"":""Empty / Unstaffed Nursing Station"",""severity"":""high"",""department"":""Nursing"",""complaint_description"":""Patient arrived at hospital to find nursing station unattended with no medical staff present to provide assistance or answer questions.""}",True,False,True
